source,target,letters
"Jefferson, Thomas","Trist, Elizabeth House",52
"Adams, John Quincy","Shaw, William Smith",52
"Jefferson, Thomas","Spafford, Horatio Gates",52
"Jefferson, Thomas","Laval, John",52
"Fitzhugh, William","Washington, George",51
"Adams, John","Adams, Samuel",51
"Van Schaick, Goose","Washington, George",51
"Washington, George","White, Alexander",51
"Jefferson, Thomas","Lee, Henry",51
"Grasse-Tilly, François-Joseph-Paul comte de","Washington, George",51
"Barnet, Isaac Cox","Madison, James",51
"Graham, George","Madison, James",51
"Franklin, Benjamin","Wharton, Samuel",50
"Adams, John","Smith, Isaac Sr.",50
"Adams, John","Thaxter, John",50
"Tilghman, Tench","Washington, George",50
"Jackson, William","Washington, George",50
"Chaloner, John","Hamilton, Alexander",50
"Cosway, Maria","Jefferson, Thomas",50
"Hamilton, Alexander","Harrison, Richard",50
"Gray, Vincent","Madison, James",50
